Approach,,,,Retraction,
Distance (nm),Force (nN),,,Distance (nm),Force (nN)
2.98E+02,5.05E-02,,,1.06E+03,0.03
2.94E+02,2.86E-02,,,1.06E+03,0.00
2.91E+02,6.90E-02,,,1.07E+03,0.01
2.86E+02,3.87E-02,,,1.07E+03,0.02
2.83E+02,5.89E-02,,,1.08E+03,0.02
2.79E+02,5.72E-02,,,1.08E+03,0.03
2.76E+02,7.41E-02,,,1.08E+03,0.01
2.71E+02,4.88E-02,,,1.09E+03,0.04
2.68E+02,6.06E-02,,,1.09E+03,0.02
2.64E+02,5.72E-02,,,1.09E+03,0.04
2.61E+02,6.90E-02,,,1.10E+03,0.00
2.56E+02,4.88E-02,,,1.10E+03,0.02
2.53E+02,6.06E-02,,,1.11E+03,0.02
2.49E+02,8.58E-02,,,1.11E+03,-0.01
2.45E+02,7.07E-02,,,1.11E+03,0.01
2.41E+02,5.05E-02,,,1.12E+03,0.02
2.37E+02,5.22E-02,,,1.12E+03,0.03
2.34E+02,6.90E-02,,,1.13E+03,0.02
2.29E+02,6.23E-02,,,1.13E+03,0.01
2.25E+02,7.91E-02,,,1.13E+03,0.02
2.21E+02,6.73E-02,,,1.14E+03,0.02
2.18E+02,6.56E-02,,,1.14E+03,0.02
2.14E+02,7.41E-02,,,1.15E+03,0.02
2.10E+02,6.06E-02,,,1.15E+03,0.02
2.06E+02,6.23E-02,,,1.15E+03,0.02
2.03E+02,8.25E-02,,,1.16E+03,0.00
1.99E+02,6.06E-02,,,1.16E+03,0.01
1.95E+02,8.08E-02,,,1.16E+03,0.01
1.92E+02,8.75E-02,,,1.17E+03,0.01
1.88E+02,6.56E-02,,,1.17E+03,0.03
1.84E+02,7.24E-02,,,1.18E+03,0.03
1.80E+02,8.08E-02,,,1.18E+03,0.02
1.76E+02,6.23E-02,,,1.18E+03,0.02
1.72E+02,7.41E-02,,,1.19E+03,0.01
1.68E+02,7.24E-02,,,1.19E+03,0.03
1.64E+02,6.90E-02,,,1.20E+03,0.02
1.60E+02,8.42E-02,,,1.20E+03,0.01
1.56E+02,7.07E-02,,,1.20E+03,0.00
1.53E+02,8.08E-02,,,1.21E+03,0.03
1.48E+02,8.75E-02,,,1.21E+03,0.01
1.45E+02,9.59E-02,,,1.21E+03,0.01
1.41E+02,1.06E-01,,,1.22E+03,0.03
1.38E+02,1.04E-01,,,1.22E+03,0.04
1.34E+02,1.26E-01,,,1.23E+03,0.03
1.30E+02,1.23E-01,,,1.23E+03,0.03
1.26E+02,1.26E-01,,,1.23E+03,0.02
1.23E+02,1.50E-01,,,1.24E+03,0.02
1.19E+02,1.82E-01,,,1.24E+03,0.02
1.15E+02,2.05E-01,,,1.25E+03,0.02
1.11E+02,2.12E-01,,,1.25E+03,0.03
1.08E+02,2.32E-01,,,1.25E+03,0.01
